review_id,destination_id,user_id,rating,review_text,language,sentiment
1,1,3,5,"Absolutely breathtaking! The limestone islands rising from the mist were unlike anything I had ever seen. The overnight cruise was worth every penny. Highly recommend booking a 2-night trip.",en,positive
2,1,7,5,"Ha Long Bay exceeded all my expectations. The emerald water, the caves, the kayaking — perfect. Only downside is it can feel crowded in peak season.",en,positive
3,2,1,5,"Sapa is magical. The terraced rice fields in autumn were the most beautiful thing I have seen in Vietnam. Trekking to the villages took effort but was deeply rewarding.",en,positive
4,2,12,4,"Great experience overall. The scenery is stunning and the ethnic minority villages feel authentic. The mountain weather can be unpredictable so bring layers.",en,positive
5,3,5,4,"Hanoi's Old Quarter is chaotic and wonderful. Street food on every corner, motorbikes everywhere, great energy. Hoan Kiem Lake at dawn is peaceful and beautiful.",en,positive
6,3,18,4,"A fascinating city with so much history. The war museum and Ho Chi Minh Mausoleum are unmissable. Traffic is insane but that is part of the experience.",en,positive
7,4,2,5,"Ninh Binh was a wonderful surprise. Rowing through the caves at Trang An with karst mountains all around was incredibly peaceful. Far less crowded than Ha Long.",en,positive
8,4,9,4,"Loved the boat trip and the ancient capital. Bich Dong Pagoda built into the cliff is stunning. Rent a bicycle to explore the countryside properly.",en,positive
9,5,6,5,"Ha Giang loop was the highlight of my entire Vietnam trip. The roads along the cliffs are terrifying and incredible. Go on a motorbike only if you are an experienced rider.",en,positive
10,5,14,5,"The most dramatic landscapes I have ever seen. Ma Pi Leng Pass views are jaw-dropping. This is the real Vietnam away from the tourist trail.",en,positive
11,6,11,4,"Mai Chau is a perfect escape from Hanoi. The stilt house homestay was comfortable and the family cooked amazing food. Cycling through rice paddies at sunrise was unforgettable.",en,positive
12,6,3,4,"Charming and peaceful. The valley feels untouched and the local culture is genuine. A great short trip from Hanoi for those wanting countryside relaxation.",en,positive
13,7,8,4,"Ba Be Lake is stunning and surprisingly unknown. We barely saw any other tourists. Kayaking on the lake and sleeping in a Tay stilt house was a highlight of our trip.",en,positive
14,7,16,4,"Beautiful lake surrounded by forest. Very remote and peaceful. Wildlife everywhere. The boat tour through the river canyon is excellent.",en,positive
15,8,4,3,"Moc Chau is charming in spring when the plum blossoms are out. Outside of blossom season it is a bit ordinary. Good food and dairy products though.",en,neutral
16,8,13,4,"The tea hills and misty valleys are lovely. We went in February for the flowers and it was magical. The town itself is basic but comfortable.",en,positive
17,9,7,5,"Bai Tu Long Bay is the real gem of the region. No big cruise ships, pristine islands, incredible diving. Far better than Ha Long if you want to escape the crowds.",en,positive
18,9,1,5,"Absolutely stunning and almost entirely to ourselves. The caves were extraordinary. This is how Ha Long Bay would have felt 20 years ago.",en,positive
19,10,15,4,"Ban Gioc Waterfall is massive and genuinely awe-inspiring. The area feels very remote and raw. Worth the long drive from Hanoi for the waterfall alone.",en,positive
20,10,6,4,"Pac Bo Cave was more moving than I expected. The history is fascinating and the surrounding jungle is beautiful. A long journey but a very rewarding one.",en,positive
21,11,2,5,"Hoi An is one of the most beautiful towns I have ever visited. The lantern-lit streets at night are magical. The food is outstanding — try Cao Lau and the white rose dumplings.",en,positive
22,11,10,5,"Perfect combination of history, food, beach, and atmosphere. The tailors are excellent and very fast. Spend at least 3 days here to do it justice.",en,positive
23,12,5,4,"Da Nang surprised me with how developed and clean it is. My Khe Beach is excellent. The Golden Bridge is worth seeing even if it is touristy.",en,positive
24,12,17,5,"Great base for exploring central Vietnam. Day trips to Hoi An and Hue are easy. The city itself has great food and a very lively street scene.",en,positive
25,13,4,5,"Hue's Citadel is incredibly impressive. The scale of it is hard to comprehend. The royal tombs outside the city are equally beautiful and much less crowded.",en,positive
26,13,8,4,"The history of Hue is fascinating and the city has a different, more refined feel than Hanoi or Saigon. The food is incredible — try Bun Bo Hue.",en,positive
27,14,9,5,"Phong Nha was the unexpected highlight of our trip. Paradise Cave is mind-blowing. The entire area feels wild and adventurous. Highly recommend cycling to the caves.",en,positive
28,14,20,5,"The caves here are beyond imagination. Son Doong is the world's largest and the photos do not do it justice. The national park itself is pristine and breathtaking.",en,positive
29,15,3,3,"My Son is interesting but the site itself was heavily damaged by war. The setting is atmospheric but you need good context to appreciate it fully. Better as a half-day trip.",en,neutral
30,15,11,4,"Fascinating Cham ruins in a beautiful jungle valley. Less impressive than Angkor but historically significant. Best visited in the morning before the heat.",en,positive
31,16,14,5,"Quy Nhon is the hidden gem of Vietnam's coast. The beaches are empty, the seafood is the freshest I have had anywhere, and the local people are incredibly friendly.",en,positive
32,16,2,5,"An absolutely beautiful and authentic coastal town. No resort crowds, just real Vietnamese life and stunning beaches. I wish more travelers knew about this place.",en,positive
33,17,7,4,"Ba Na Hills is touristy but genuinely fun. The Golden Bridge is incredible for photos. The French village atmosphere is charming and the cable car ride has great mountain views.",en,positive
34,17,13,3,"Good for families with kids but feels artificial. The Golden Bridge is photogenic but the park is essentially a theme park. Overpriced for what it is.",en,neutral
35,18,6,4,"Bach Ma is a real wilderness experience. Very few tourists and genuinely wild. The summit views on a clear day are extraordinary. Bring good hiking boots.",en,positive
36,18,19,4,"Excellent birdwatching and the waterfalls are impressive. The road to the summit can be rough but the park is rewarding for active travelers who want solitude.",en,positive
