user_id,destination_id,rating
1,9,5
1,1,4
1,2,5
1,19,3
1,21,4
1,23,5
2,11,5
2,16,5
2,24,5
2,22,4
2,13,4
2,15,3
3,1,5
3,11,5
3,6,4
3,23,5
3,29,4
3,30,4
4,8,4
4,6,4
4,13,5
4,20,5
4,25,4
4,27,4
5,21,4
5,22,5
5,12,4
5,19,3
5,17,4
5,3,4
6,5,5
6,10,4
6,14,5
6,28,4
6,7,4
6,2,4
7,1,5
7,9,5
7,17,3
7,33,4
7,12,4
7,19,4
8,4,5
8,13,4
8,20,5
8,15,4
8,18,4
8,27,4
9,1,5
9,14,5
9,24,5
9,22,4
9,28,5
9,44,4
10,21,4
10,11,5
10,3,4
10,22,5
10,25,4
10,19,4
11,11,5
11,24,5
11,15,4
11,6,4
11,47,4
11,17,3
12,2,4
12,19,3
12,22,5
12,1,4
12,3,4
12,5,4
13,8,4
13,17,3
13,29,4
13,26,3
13,22,5
13,23,4
14,5,5
14,10,4
14,2,4
14,28,4
14,56,4
14,18,3
15,10,4
15,23,5
15,46,5
15,8,3
15,7,4
15,22,4
16,21,4
16,30,4
16,25,4
16,26,3
16,3,4
16,12,5
17,12,5
17,25,4
17,24,5
17,49,4
17,21,4
17,13,4
18,3,4
18,27,4
18,54,4
18,6,3
18,13,5
18,11,4
19,18,4
19,36,4
19,28,5
19,14,4
19,5,4
19,7,3
20,29,4
20,57,4
20,14,5
20,28,4
20,23,5
20,21,4
